Source,Description,"Value £s  In bands of £1,500",Received,Registered,gid
Association of British Credit Unions Ltd,Secretariat  From : 01/01/2016  To : 23/06/2017,1501-3000,01/01/2016,27/06/2016,credit-unions
Money Advice Service,Breakfast meeting held on 03/03/2016,1501-3000,03/03/2016,27/07/2016,credit-unions
Citigroup,Reception held on 19 October 2016,4501-6000,19/10/2016,22/11/2016,credit-unions
Fiserv Inc,Reception held on 30 November 2016,3001-4500,30/11/2016,22/12/2016,credit-unions
Lloyds Banking Group,Reception held on 28 February 2017,4501-6000,28/02/2017,26/04/2017,credit-unions
Edelman,Secretariat  From : 01/07/2015  To : 30/06/2017,15001-16500,01/07/2015,27/10/2016,crossrail
Walk of Truth,Secretariat  From : 01/01/2017  To : 31/12/2017,4501-6000,01/01/2017,06/01/2017,cultural-heritage
The Institute of Customer Service,Secretariat  From : 01/07/2016  To : 30/06/2017,10501-12000,01/07/2016,30/08/2016,customer-service
"Information Security Group, Royal Holloway College","Secretariat  From : 24/05/2016  To : 24/05/2017  Cost Met : Wychwood Consulting Ltd is paid by the Information Security Group, Royal Holloway College to act as the group's secretariat",10501-12000,24/05/2016,09/06/2016,cyber-security
Dairy UK,Reception and production of report and associated material,1501-3000,09/03/2016,12/01/2017,dairy
RABDF,Reception and production of report and associated material,1501-3000,09/03/2016,12/01/2017,dairy
Dairy UK,Secretariat  From : 01/01/2017  To : 31/12/2017,1501-3000,01/01/2017,12/01/2017,dairy
One Dance UK,Secretariat  From : 01/04/2016  To : 30/10/2017,1501-3000,01/04/2016,21/11/2016,dance
Policy Connect,Secretariat  From : 01/01/2016  To : 31/12/2016,9001-10500,01/01/2016,03/05/2016,data-analytics
ODI,Membership of ODI,1501-3000,13/09/2016,17/10/2016,data-analytics
Action on Hearing Loss,Secretariat  From : 01/10/2016  To : 01/10/2017,1501-3000,01/10/2016,17/01/2017,deafness
UK Defence Forum,Dinner on 23 May 2016,1501-3000,23/05/2016,27/05/2016,defence-and-security-issues
UK Defence Forum,Briefing dinner held on 5 July 2016,1501-3000,05/07/2016,07/07/2016,defence-and-security-issues
UK Defence Forum,Briefing dinner held on 1 November 2016,1501-3000,01/11/2016,14/11/2016,defence-and-security-issues
UK Defence Forum,Briefing dinners held on 13 September 2016 and 15 November 2016,3001-4500,15/11/2016,21/11/2016,defence-and-security-issues
Alzheimer's Society,Secretariat  From : 01/01/2016  To : 31/12/2016,6001-7500,01/01/2016,01/08/2016,dementia
Bite the Ballot,Secretarit  From : 01/12/2016  To : 30/11/2017,1501-3000,01/12/2016,14/12/2016,democratic-participation
British Dental Association,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,27/10/2016,dentistry-and-oral-health
Diabetes UK,Secretariat  From : 01/01/2015  To : 31/12/2017,6001-7500,01/01/2015,14/09/2016,diabetes
Juvenile Diabetes Research Foundation,Secretariat  From : 01/01/2015  To : 31/12/2017,6001-7500,01/01/2015,14/09/2016,diabetes
Digital Trust,Joseph Rowntree Trust pays Digital Trust to act as the group's secretariat  From : 24/06/2016  To : 24/06/2017,3001-4500,24/06/2016,19/07/2016,digital-crime
Disability Rights UK,Secretariat  From : 21/07/2016  To : 20/07/2017,7501-9000,21/07/2016,06/10/2016,disability
Connect Communications,Secretariat  From : 01/03/2016  To : 31/12/2016,10501-12000,01/03/2016,14/06/2016,district-councils
Women's Aid,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,18/07/2016,domestic-violence
Frank Warburton Consultancy,Secretariat  From : 12/07/2016  To : 12/07/2017,21001-22500,12/07/2016,12/07/2016,drug-policy-reform
Dyslexia Action,Secretariat  From : 07/09/2016  To : 07/09/2017,3001-4500,07/09/2016,12/09/2016,dyslexia-and-other-specific-learning-difficulties
UK Vaping Industry Association,Secretariat  From : 24/10/2016  To : 24/10/2017,18001-19500,24/10/2016,27/10/2016,e-cigarettes
Ranealgh International funded by British Educational Suppliers Association,Secretariat  From : 01/01/2015  To : 31/12/2015,22501-24000,01/01/2015,13/07/2015,education
Remarkable Group,Secretariat  From : 01/01/2017  To : 31/12/2017,10501-12000,01/01/2017,14/03/2017,endangered-species
Royal Public Affairs,Secretariat  From : 09/06/2016  To : 10/06/2017,16501-18000,09/06/2016,13/06/2015,energy-costs
Energy Intensive Users Group,Secretariat  From : 19/10/2016  To : 31/12/2017,1501-3000,19/10/2016,31/10/2016,energy-intensive-industries
Renewable Energy Association,Secretariat  From : 18/10/2016  To : 30/10/2017,12001-13500,18/10/2016,19/10/2016,energy-storage
Tamesis Services Ltd,Secretariat  From : 01/01/2016  To : 31/12/2016,58501-60000,01/01/2016,25/07/2016,energy-studies
EDF Energy,House of Lords dinner,6001-7500,19/03/2016,02/08/2016,energy-studies
Fluor,Sponsorship of APPG's journal,1501-3000,01/03/2016,02/08/2016,energy-studies
Wales & West Utilities,Summer reception,7501-9000,02/07/2016,02/08/2016,energy-studies
JBP,Secretariat  From : 01/01/2015  To : 31/12/2015,3001-4500,01/01/2015,07/10/2015,engineering
The Entrepreneurs Network,Launch reception held on 6 June 2016,6001-7500,07/07/2016,03/07/2016,entrepreneurship
The Entrepreneurs Network,Secretariat  From : 06/06/2016  To : 05/06/2017,3001-4500,06/06/2016,03/07/2016,entrepreneurship
Young Epilepsy,Secretariat  From : 11/07/2016  To : 10/07/2017,1501-3000,11/07/2016,27/07/2016,epilepsy
